features,instrument_family,instrument_source
"[488.5624119070302, 14.188759119686226, 10.252608412666607, 6.234996186273877, -2.1902573901717974, -9.323061887706968, -10.813162118418111, -15.271014589692843, -16.07212483015181, -9.78626528391373, -6.5600280509537, -2.4106259916586694, 6.609807864675246, 679.8042462131795, 0.09838663404711588]",5,0
"[782.1567187058238, 85.36293901200456, -54.80964987013475, 14.22804279227947, -24.275931135257924, -10.033958112985301, -21.201996629262023, -1.3002473070930485, -10.51570223232061, -7.026187555673252, -9.547681552346072, -6.112277980321516, -8.673420183528512, 1166.0506158455055, 0.23580900371704547]",1,0
"[409.5104300365915, 0.9624522674275303, -3.512932662183563, 2.93281561838967, 3.1629617204711544, -2.905393252933131, -0.2691940360238579, 3.5534644658564636, -0.9316805119076214, -3.0141123742147546, 2.320779944426402, 2.4534749132847, -3.0943606880174293, 987.126043840572, 0.046005380916107945]",5,0
"[600.1451147879989, 52.89994480423647, 29.745135694066832, 20.825234270111405, 18.91325677936752, 14.151092606777755, 5.3511873021841625, 1.0346619159335693, 2.819243732601125, 3.6424139224677075, 2.0961172547507236, 2.2004703813979947, 3.843681091351062, 328.8567991714688, 0.16237018669807618]",0,2
"[504.15972002253784, 65.81588792710143, 55.11250409990891, 44.54355893599221, 36.68965739259034, 30.61774459744177, 25.26170606282567, 20.376784911294845, 15.758740376281601, 11.269041654554208, 7.227380193157381, 4.261628895484848, 2.7169265294212726, 140.4381222714166, 0.32434795258531224]",0,2
"[647.6171784565134, 220.87567649921596, 2.9245638559484752, 4.648118509824081, 10.980181273556084, 6.851547331503785, 3.068356885687071, 2.20806333746155, 8.815315208053864, 11.506016442545482, 7.237237158756694, 3.220308009094311, 1.3986454336039478, 500.5834105040019, 0.3765652101101161]",4,1
"[625.8950875238041, 122.88959686892376, 103.5075125306514, 76.57961458925055, 48.282301981150844, 24.24445739752221, 7.963298777643805, 0.12097381469604307, -1.0534598140829452, 1.348425886888668, 4.276966532127486, 5.763499215576744, 5.3000038876306546, 235.6047801059466, 0.5486796053922686]",4,1
"[426.9847816572894, 108.35141038630675, -33.60932051814736, -13.696460091607106, -19.9469918592737, -8.351539600689089, -10.462954596115948, -3.8980724184889177, -5.938926211391878, -1.7725810509660738, -4.191615124132472, -1.2131670695792334, -3.496203884560951, 668.8888857721151, 0.5112575553779845]",0,2
"[604.8514829866576, 82.72991649417408, 73.65292239490273, 63.54333217307345, 53.49029629595763, 43.37504861815855, 33.76732234452327, 25.316118004295042, 18.045452694503087, 11.863548657920685, 7.130385185991595, 3.5339691686584698, -0.024562193339611415, 129.04389071423014, 0.17467997997609713]",4,1
"[454.3961331002718, -7.776892230026929, 13.535800599502128, 20.892016000326937, -11.18824121350827, 28.256087761859224, -1.7205136327448702, 3.6349007302619034, 24.01604671067897, -13.310431595368964, 23.386613103027287, 3.6790062632281884, -1.765963806910761, 2818.1298732945784, 0.08092276316692432]",6,1
