features,instrument_family,instrument_source
"[488.5624119070302, 14.188759119686226, 10.252608412666607, 6.234996186273877, -2.1902573901717983, -9.323061887706968, -10.813162118418111, -15.271014589692847, -16.07212483015181, -9.786265283913728, -6.560028050953698, -2.4106259916586685, 6.609807864675246, 679.8042462131795, 0.09838663404711588, 0.043801928323412696, 863.2884818160057, 1038.6904761904761, 22.25564744152813, 0.001243407733864753, 0.0, 1037.0330810546875]",5,0
"[782.1567187058238, 85.36293901200456, -54.80964987013476, 14.22804279227947, -24.275931135257927, -10.033958112985301, -21.201996629262027, -1.300247307093048, -10.515702232320612, -7.026187555673251, -9.547681552346074, -6.1122779803215135, -8.673420183528508, 1166.0506158455053, 0.23580900371704544, 0.08057415674603174, 1088.3066733107353, 2137.152777777778, 28.95736741478179, 0.7677788817862135, 89.28571428571429, 4910.42431640625]",1,0
"[409.5104300365915, 0.9624522674275299, -3.5129326621835633, 2.93281561838967, 3.1629617204711544, -2.905393252933131, -0.2691940360238578, 3.5534644658564636, -0.9316805119076207, -3.0141123742147538, 2.3207799444264023, 2.4534749132847002, -3.0943606880174293, 987.1260438405722, 0.046005380916107945, 0.08869667658730158, 443.9353585619776, 1357.9489087301588, 13.531786648596222, 0.0010914335543893206, 0.0, 287.81719970703125]",5,0
"[600.1451147879989, 52.89994480423646, 29.74513569406683, 20.825234270111405, 18.91325677936752, 14.151092606777754, 5.3511873021841625, 1.0346619159335693, 2.8192437326011257, 3.642413922467708, 2.096117254750724, 2.200470381397993, 3.8436810913510637, 328.8567991714688, 0.16237018669807618, 0.03399755084325397, 451.00827691529884, 438.8020833333333, 25.230148744503555, 0.21623880085142066, 0.0, 958.9686279296875]",0,2
"[504.15972002253784, 65.81588792710141, 55.11250409990892, 44.54355893599221, 36.68965739259034, 30.61774459744177, 25.26170606282567, 20.376784911294838, 15.758740376281601, 11.269041654554208, 7.22738019315738, 4.261628895484851, 2.716926529421275, 140.43812227141657, 0.32434795258531224, 0.00984312996031746, 342.74063521434056, 187.81001984126985, 20.625082530965805, 0.10365018338033925, 117.1875, 1587.891357421875]",0,2
"[647.6171784565134, 220.87567649921596, 2.9245638559484712, 4.648118509824076, 10.980181273556095, 6.851547331503782, 3.068356885687065, 2.2080633374615544, 8.815315208053867, 11.506016442545484, 7.237237158756684, 3.220308009094319, 1.3986454336039522, 500.5834105040019, 0.376565210110116, 0.024820963541666668, 542.4709371381495, 972.9042658730159, 27.994448458519653, 0.016332016749881138, 117.1875, 2012.5784912109375]",4,1
"[625.8950875238041, 122.88959686892376, 103.5075125306514, 76.57961458925055, 48.282301981150844, 24.24445739752221, 7.963298777643805, 0.12097381469604171, -1.0534598140829472, 1.348425886888666, 4.276966532127485, 5.763499215576745, 5.3000038876306546, 235.6047801059466, 0.5486796053922686, 0.005638485863095238, 297.66602560810566, 532.9861111111111, 18.893643654517295, 0.06411467324021008, 0.0, 11834.0869140625]",4,1
"[426.9847816572894, 108.35141038630675, -33.60932051814736, -13.696460091607106, -19.946991859273705, -8.351539600689089, -10.462954596115944, -3.8980724184889186, -5.938926211391876, -1.7725810509660742, -4.191615124132471, -1.2131670695792345, -3.4962038845609493, 668.8888857721153, 0.5112575553779845, 0.030060298859126984, 496.0570541815537, 942.1502976190476, 17.51038248809948, 0.1427157825698408, 117.1875, 277.4125671386719]",0,2
"[604.8514829866576, 82.72991649417408, 73.65292239490273, 63.54333217307346, 53.49029629595763, 43.37504861815854, 33.76732234452327, 25.316118004295046, 18.045452694503087, 11.863548657920688, 7.130385185991596, 3.5339691686584693, -0.02456219333961147, 129.04389071423017, 0.1746799799760971, 0.015163845486111112, 192.268915919843, 133.55654761904762, 20.39991457305254, 0.131620999974823, 117.1875, 8626.0361328125]",4,1
"[454.3961331002718, -7.7768922300269265, 13.535800599502123, 20.89201600032693, -11.188241213508267, 28.256087761859224, -1.7205136327448634, 3.6349007302619074, 24.01604671067897, -13.310431595368955, 23.386613103027283, 3.679006263228188, -1.7659638069107622, 2818.129873294579, 0.08092276316692432, 0.368439205109127, 735.1697064920224, 3034.722222222222, 28.24535927327139, 0.17372804279867243, 117.1875, 6143.96240234375]",6,1
